# kp=5.8  ki=4.35  kd=0.1005  base=20.0
# calib_factors  f1=1.0000  f2=0.9731  f3=0.9614  f4=0.9647
time,yaw,err_deg,diff,fl,rl,fr,rr
2.017999577219598e-06,171.50345677735,0.0,-0.0,20.0,19.46284691136974,19.228588481050434,19.294240525216352
0.020064097999238584,171.50345677735,0.0,-0.0,20.0,19.46284691136974,19.228588481050434,19.294240525216352
0.04012358599993604,171.50345677735,0.0,-0.0,20.0,19.46284691136974,19.228588481050434,19.294240525216352
0.060182276999512396,171.50345677735,0.0,-0.0,20.0,19.46284691136974,19.228588481050434,19.294240525216352
0.0802414489999137,171.50345677735,0.0,-0.0,20.0,19.46284691136974,19.228588481050434,19.294240525216352
0.10030582599938498,171.50345677735,0.0,-0.0,20.0,19.46284691136974,19.228588481050434,19.294240525216352
0.12036418399929971,171.5047274093821,-0.0012706320320887698,0.013846882921928195,20.01384688292193,19.476321899495197,19.21527568037788,19.280882270735344
0.1404227639995952,171.50571626663046,-0.002259489280447724,0.018367552664124237,20.018367552664124,19.480721154651658,19.21092937547131,19.276521126268293
0.16048091799984832,171.50013270802447,0.0033240693255436327,-0.04723765420037514,19.952762345799623,19.416877949762032,19.274004151721893,19.339811258315805
0.18054023799959396,171.49578716582852,0.007669611521492925,-0.06690677259837821,19.93309322740162,19.397737097748937,19.292914620894905,19.35878629338031
0.20060737399944628,171.48986196083496,0.013594816515052344,-0.11036244998284188,19.88963755001716,19.355448537930755,19.33469418777446,19.400708507962406
0.22066593599993212,171.485253010779,0.01820376657101974,-0.13210053902654198,19.867899460973458,19.33429428297059,19.355593826203748,19.421679503890793
0.24072525599967776,171.48420743551605,0.019249341833955214,-0.12199065649997233,19.87800934350003,19.34413263776592,19.34587388766899,19.41192637863333
0.26078263299950777,171.48339381360677,0.02006296374324279,-0.1272984250611974,19.8727015749388,19.33896742341851,19.350976932539815,19.417046846796953
0.2808481389993176,171.4853024535802,0.018154323769806524,-0.10417655268929012,19.89582344731071,19.361468296532447,19.328746884102273,19.394740898450102
0.3009307929996794,171.48678880387138,0.016667973478632803,-0.09913326238355807,19.900866737616443,19.36637613588995,19.3238981164083,19.38987557564024
0.3209891319993403,171.48667331643702,0.016783460912989767,-0.10928431680890284,19.890715683191097,19.356497714976474,19.33365763881799,19.3996684199236
0.3410467489993607,171.48658344314413,0.016873334205882884,-0.11114947051402195,19.88885052948598,19.35468265492503,19.335450852470473,19.40146775613375
0.36110419899978297,171.4877840820804,0.015672695269614678,-0.09908695999632271,19.900913040003676,19.366421194703666,19.323853599930814,19.38983090717043
0.3811609829999725,171.48871844207721,0.014738335272795666,-0.09628761137223063,19.90371238862777,19.369145359389783,19.32116222379543,19.38713034188707
0.40123945199957234,171.4894462977121,0.014010479637903472,-0.09432842825894405,19.905671571741056,19.371051923440042,19.319278607503207,19.385240294376036
0.42129766199923324,171.49001209377036,0.013444683579649563,-0.09302820940469607,19.906971790595303,19.372317221465618,19.318028538839027,19.383985957610573
0.4413570009992327,171.49045243748435,0.013004339865659631,-0.09223764293119106,19.90776235706881,19.37308655517797,19.31726846496973,19.383223288626024
0.46141652499954944,171.49460721707962,0.008849560270391521,-0.05030249053001298,19.94969750946999,19.413895427747427,19.27695077554911,19.342767942781524
0.4814755130000776,171.49784048000373,0.005616297346278998,-0.036656072226921285,19.963343927773078,19.427175335263506,19.26383070745959,19.32960307892915
0.501541740999528,171.50289963205492,0.0005571452950903222,0.0017773434421034066,20.001777343442104,19.46457651953587,19.22687969076855,19.29252590062296
0.5216005799993582,171.50683516769672,-0.0033783903467110576,0.019277958185078405,20.01927795818508,19.481607108815737,19.210054084815646,19.275642847113453
0.541659141999844,171.51116851868616,-0.007711741336152045,0.04707773811674361,20.047077738116744,19.50866025186473,19.183326558407156,19.248824065085973
0.5617179259998011,171.51454089912338,-0.011084121773365041,0.06278973169756925,20.06278973169757,19.52395025815153,19.168220585468024,19.233666515922017
0.5817749319994618,171.5197062911321,-0.01624951378209971,0.10315251563976971,20.10315251563977,19.563228992390716,19.12941461734932,19.194728052839608
0.6018391600000541,171.52372751048281,-0.020270733132804253,0.12250442607211849,20.12250442607212,19.58206115590008,19.11080912124803,19.1760590321144
0.6218991289997575,171.52812686335446,-0.02467008600444842,0.15207212273831128,20.15207212273831,19.610834733586877,19.082381867671693,19.147534719551693
0.6419582640000954,171.53155039020209,-0.02809361285207501,0.1694917958689003,20.1694917958689,19.627786555156217,19.065634081366568,19.13072975138908
0.6620155479995447,171.5342144491461,-0.030757671796095565,0.18382307577204887,20.18382307577205,19.64173293049617,19.05185556718335,19.116904193314802
0.6820719799998187,171.53628765773905,-0.03283088038904225,0.19575192936585528,20.195751929365855,19.653341403062385,19.040386816343048,19.105396284793354
0.7021379119996709,171.5417149705585,-0.038258193208491775,0.2473638549600516,20.247363854960053,19.703567153394427,18.990765592444777,19.05560563947415
0.7221953069993106,171.54593670300136,-0.042479925651349504,0.26952712617927693,20.269527126179277,19.725135171134173,18.96945717136136,19.034224465187688
0.7422525909996693,171.54795164535662,-0.04449486800660907,0.2740386004504879,20.27403860045049,19.729525477788435,18.965119707251162,19.029872191702083
