# kp=9.0  ki=0.0  kd=0.0  base=90.0
# calib_factors  f1=1.0000  f2=1.0000  f3=1.0000  f4=1.0000
time,yaw,err_deg,diff,fl,rl,fr,rr,phase
1.5929999790387228e-06,-151.5129593098,0.0,0.0,90.0,90.0,90.0,90.0,pid
0.020065366999915568,-151.5129593098,0.0,0.0,90.0,90.0,90.0,90.0,pid
0.040124994000507286,-151.5129593098,0.0,0.0,90.0,90.0,90.0,90.0,pid
0.060186287000760785,-151.52947965281714,0.016520343017134564,-0.14868308715421108,89.85131691284579,89.85131691284579,90.14868308715421,90.14868308715421,pid
0.08024645000114106,-151.54233521802655,0.029375908226541014,-0.26438317403886913,89.73561682596113,89.73561682596113,90.26438317403887,90.26438317403887,pid
0.10030726200056961,-151.53454913723363,0.021589827433615483,-0.19430844690253934,89.80569155309746,89.80569155309746,90.19430844690254,90.19430844690254,pid
0.12036696300128824,-151.52849023431835,0.015530924518344591,-0.13977832066510132,89.8602216793349,89.8602216793349,90.1397783206651,90.1397783206651,pid
0.14042751499982842,-151.49963056802085,-0.013328741779162101,0.11995867601245891,90.11995867601246,90.11995867601246,89.88004132398754,89.88004132398754,pid
0.16048786400097015,-151.4771718428667,-0.03578746693330004,0.32208720239970035,90.3220872023997,90.3220872023997,89.6779127976003,89.6779127976003,pid
0.18054837900126586,-151.46604779363582,-0.04691151616418665,0.42220364547767986,90.42220364547768,90.42220364547768,89.57779635452232,89.57779635452232,pid
0.2006088580001233,-151.45739093990983,-0.05556836989018166,0.5001153290116349,90.50011532901163,90.50011532901163,89.49988467098837,89.49988467098837,pid
0.22066668800107436,-151.472255097355,-0.040704212445007215,0.36633791200506494,90.36633791200506,90.36633791200506,89.63366208799494,89.63366208799494,pid
0.24072542500107375,-151.48382340992708,-0.02913589987292653,0.26222309885633877,90.26222309885634,90.26222309885634,89.73777690114366,89.73777690114366,pid
0.26078692200098885,-151.49282729833672,-0.020132011463289246,0.1811881031696032,90.1811881031696,90.1811881031696,89.8188118968304,89.8188118968304,pid
0.2808481780011789,-151.52270835528012,0.009749045480106133,-0.0877414093209552,89.91225859067904,89.91225859067904,90.08774140932096,90.08774140932096,pid
0.30090712000128406,-151.5459595737489,0.03300026394887823,-0.29700237553990405,89.7029976244601,89.7029976244601,90.2970023755399,90.2970023755399,pid
0.3209673940000357,-151.57040905556272,0.057449745762710336,-0.517047711864393,89.4829522881356,89.4829522881356,90.5170477118644,90.5170477118644,pid
0.3410258350013464,-151.58943446065797,0.0764751508579593,-0.6882763577216338,89.31172364227837,89.31172364227837,90.68827635772163,90.68827635772163,pid
0.36108655400130374,-151.59153448423012,0.07857517443011375,-0.7071765698710237,89.29282343012898,89.29282343012898,90.70717656987102,90.70717656987102,pid
0.3811443110007531,-151.59316853106543,0.08020922126542018,-0.7218829913887816,89.27811700861122,89.27811700861122,90.72188299138878,90.72188299138878,pid
0.40120491900052,-151.57283749217459,0.05987818237457532,-0.5389036413711779,89.46109635862882,89.46109635862882,90.53890364137118,90.53890364137118,pid
0.42126250799992704,-151.55701774938768,0.04405843958767264,-0.39652595628905374,89.60347404371095,89.60347404371095,90.39652595628905,90.39652595628905,pid
0.441323115999694,-151.54216304180636,0.0292037320063514,-0.2628335880571626,89.73716641194284,89.73716641194284,90.26283358805716,90.26283358805716,pid
0.4613824280004337,-151.53060360226564,0.017644292465632816,-0.15879863219069534,89.8412013678093,89.8412013678093,90.1587986321907,90.1587986321907,pid
0.48144386900094105,-151.5038156795039,-0.00914363029610854,0.08229267266497686,90.08229267266498,90.08229267266498,89.91770732733502,89.91770732733502,pid
0.501503440000306,-151.4829709504786,-0.029988359321407643,0.2698952338926688,90.26989523389267,90.26989523389267,89.73010476610733,89.73010476610733,pid
0.5215605110006436,-151.46039812041096,-0.05256118938905274,0.4730507045014747,90.47305070450147,90.47305070450147,89.52694929549853,89.52694929549853,pid
0.5416201000007277,-151.44282897890818,-0.07013033089182841,0.6311729780264557,90.63117297802646,90.63117297802646,89.36882702197354,89.36882702197354,pid
0.5616784860012558,-151.43042766085972,-0.08253164894028941,0.7427848404626047,90.7427848404626,90.7427848404626,89.2572151595374,89.2572151595374,pid
0.5817403720011498,-151.42077506915442,-0.09218424064559372,0.8296581658103435,90.82965816581034,90.82965816581034,89.17034183418966,89.17034183418966,pid
